created_at,full_text,text_weight,text_weight_label,class_sentiment
Thu Feb 15 10:54:18 +0000 2024,hehehe,0,0,netral
Thu Feb 15 12:51:35 +0000 2024,puluh timses caleg daftar konsultasi ganggu mental stress rumah sakit,-7,-1,negatif
Thu Feb 15 13:44:23 +0000 2024,innalillahi tugas kpps tinggal dunia alami celaka logistik milu,-7,-1,negatif
Thu Feb 15 10:38:27 +0000 2024,salam juang putar,3,1,positif
Thu Feb 15 16:14:08 +0000 2024,gelombang,0,0,netral
Thu Feb 15 18:09:14 +0000 2024,arep sopo wae presidene urip panggah ngono kui wae roda hidup nek puter dewe mlaku jur bab pilpres iso gae pecah masalahe opo bar pilpres dadi dewan menteri sing macul panggah macul ra dadi camat,-5,-1,negatif
Thu Feb 15 14:58:27 +0000 2024,lelucon demokrasi ala wakanda,-4,-1,negatif
Thu Feb 15 12:05:39 +0000 2024,nilai proses langgan muncul nama paslon langgan etika tabrak uu kpu selamat demokrasi diskualifikasi,13,1,positif
Thu Feb 15 16:26:14 +0000 2024,bivitri ajak anak muda perempuan takut suara,-1,-1,negatif
Thu Feb 15 16:11:07 +0000 2024,kpu salah konversi form c sirekap tps,-4,-1,negatif
Thu Feb 15 09:55:37 +0000 2024,giring opini presiden quick count duh,-1,-1,negatif
Thu Feb 15 13:04:09 +0000 2024,tim hukum amin bukti curang klaim menang,-2,-1,negatif
Thu Feb 15 05:17:00 +0000 2024,daftar partai politik lolos dpr versi quick count pdip psi lolos,-8,-1,negatif
Thu Feb 15 10:37:44 +0000 2024,oo barusan belanja material krn akrab milik slese muat truk total juta bulat gitu iya versi quick count kalo versi real count tuh kasir pukimak,7,1,positif
Thu Feb 15 11:29:17 +0000 2024,menang kalah muak rakyat sungguh benci dengki fitnah tebar,-7,-1,negatif
Thu Feb 15 08:04:50 +0000 2024,jokowi gibran kader pdip status hmmm lucu nih,3,1,positif
Thu Feb 15 08:47:00 +0000 2024,data quick count charta politika rampung daerah peta suara sebar capres provinsi jago menang wilayah,9,1,positif
Thu Feb 15 11:30:22 +0000 2024,pks harap kalah pilpres oposisi,-4,-1,negatif
Thu Feb 15 05:53:00 +0000 2024,real count kpu jabar anies prabowo ganjar kpu laku hitung suara jabar prabowo unggul lengkap gtgt,18,1,positif
Thu Feb 15 12:27:49 +0000 2024,jokowi sila lapor curang milu pdip rakyat awas,2,1,positif
Wed Feb 14 17:04:40 +0000 2024,komisioner kpu kota probolinggo divisi sosdiklih parmas sdm radfan faisal laku monitoring tps lokasi khusus pondok riyadlus sholihin lurah ketapang camat kademangan rabu ri,-1,-1,negatif
Wed Feb 14 19:16:18 +0000 2024,kpu kota yogyakarta laksana musnah surat suara milu selasa halaman gudang kpu kota yogyakarta jl pramuka prenggan kotagede giat undang bawaslu kota yogyakarta polresta yogyakarta,-4,-1,negatif
Wed Feb 14 10:30:25 +0000 2024,website kpu down milu pakar aman siber,-4,-1,negatif
Wed Feb 14 16:01:16 +0000 2024,hallo anggota kpu kota tarak herry fitri armandita spd istri nurhalima hak pilih tps lurah selumit kec tarak jam wita rabu februari,-8,-1,negatif
Wed Feb 14 12:16:41 +0000 2024,hitung resmi kpu pilpres kabupaten sambas prabowogibran aniesmuhaimin ganjarmahfud suara masuk,2,1,positif
Wed Feb 14 14:19:24 +0000 2024,kpu kabupaten kebumen laksana musnah surat suara milu selasa,-3,-1,negatif
Wed Feb 14 13:25:58 +0000 2024,kapolda kalsel irjen pol winarto sh mh pju polda kalsel laksana pantau milu wilayah prov kalsel forkopimda kpu bawaslu instansi kait lainnnya,-3,-1,negatif
Wed Feb 14 23:30:00 +0000 2024,reaksi kpu ri surat suara coblos malaysia pungut suara ulang,6,1,positif
Wed Feb 14 17:11:12 +0000 2024,hasil resmi milu kpu lambat pungut suara,8,1,positif
Wed Feb 14 12:52:07 +0000 2024,lembaga survei hitung cepat pilpres paslon nomor urut posisi tanggap ganjar masyarakat tunggu hasil resmi kpu,15,1,positif
Wed Feb 14 11:54:23 +0000 2024,breaking news nama prabowogibran ubah bernoulli amp bohr aplikasi sirekap kpu ri,-4,-1,negatif
Wed Feb 14 18:39:32 +0000 2024,kenal milu hasil quick count beda hasil kpu ketua mpr ri bambang soesatyo bamsoet selamat menang prabowogibran pilpres dasar hasil quick count,19,1,positif
Wed Feb 14 16:43:24 +0000 2024,sikap gentleman anies baswedan hormat putus kpu demokrat sejati,8,1,positif
Wed Feb 14 14:30:00 +0000 2024,link cek hasil real count resmi kpu pilpres simak hasil,9,1,positif
Wed Feb 14 13:09:35 +0000 2024,hasil real count pilpres kpu provinsi prabowo unggul,5,1,positif
Wed Feb 14 23:15:43 +0000 2024,nik janggal dpt kaltim kpu salah input,-8,-1,negatif
Wed Feb 14 15:05:00 +0000 2024,viral edar foto kpps serang banten pakai kemeja warna khas prabowogibran kpu ganti kostum,8,1,positif
Wed Feb 14 15:28:46 +0000 2024,selamat id amp ri suskses selenggara milu surat suara goib coblos nomer urut,10,1,positif
Wed Feb 14 14:31:29 +0000 2024,anggota kpu provinsi bengkulu alpin samsen hak pilih tps kota medan camat kota manna kabupaten bengkulu selatan rabu februari,-7,-1,negatif
Wed Feb 14 23:02:40 +0000 2024,link real count kpu ri lihat hasil hitung suara milu pilpres website resmi,13,1,positif
Wed Feb 14 14:09:37 +0000 2024,capres nomor urut anies baswedan respons hasil quick count pilpres unggul paslon prabowo subiantogibran rakabuming anies tunggu hitung suara resmi kpu ri selesai tunggu,15,1,positif
Wed Feb 14 23:30:32 +0000 2024,jurdil metode rekapitulasi suara pakai beda banget qc web kpu kawal milu hatihati hitung bikin pks milu prabs kena tipu sujud syukur duluan hitung internal,3,1,positif
Wed Feb 14 23:43:21 +0000 2024,jadwal hasil milu sumpahjanji presiden wakil presiden,9,1,positif
Wed Feb 14 16:42:40 +0000 2024,id saksi live streaming konferensi pers kembang laksana pungut hitung suara tps milu rabu februari wib kanal youtube kpu ri,12,1,positif
Wed Feb 14 23:08:16 +0000 2024,hasil real count kpu milu,5,1,positif
Wed Feb 14 21:32:54 +0000 2024,giring percaya qc id gantung,-1,-1,negatif
Wed Feb 14 15:10:07 +0000 2024,kpu mengeklaim situs resmi alam ratus juta serang siber pungut suara rabu,4,1,positif
Wed Feb 14 18:58:56 +0000 2024,milu nyata sah gagal id ri,0,0,netral
Wed Feb 14 10:47:32 +0000 2024,tugas kpu laku jemput suara milu door door pasien rscm jakarta,1,1,positif
Wed Feb 14 14:54:12 +0000 2024,cek hasil hitung milu portal resmi komisi pilih kpu,3,1,positif
Wed Feb 14 22:00:02 +0000 2024,afifuddin akses website kpu akses,4,1,positif
Wed Feb 14 16:10:47 +0000 2024,milu aman damai id,0,0,netral
Wed Feb 14 11:24:53 +0000 2024,website id down akses real count paksa mempercayai hasil quick count rupa sample real vote hmmm,6,1,positif
Wed Feb 14 23:20:17 +0000 2024,pandu praktis pantau hasil milu akses cek real count kpu,12,1,positif
Wed Feb 14 16:26:09 +0000 2024,kpu buka pungut suara susul tps,5,1,positif
Wed Feb 14 23:23:30 +0000 2024,resmi kpu maret tanggal maret nih wkwkwk,1,1,positif
Wed Feb 14 18:46:05 +0000 2024,presiden ri kpu kemarin malam tidur nya nyenyak amin,4,1,positif
Wed Feb 14 16:26:23 +0000 2024,denial lu tungguin nunggu hasil hitung kpu,5,1,positif
Wed Feb 14 23:31:07 +0000 2024,cek real count kpu milu pilpres pileg,-2,-1,negatif
Wed Feb 14 13:16:49 +0000 2024,ganjar tunggu hasil resmi kpu tanggap hitung cepat pilpres,18,1,positif
Wed Feb 14 22:45:43 +0000 2024,pojok pilih exit poll quick count hitung resmi beda atur exit poll quick count milu beda hitung resmi kpu baca kompas,1,1,positif
Wed Feb 14 16:17:27 +0000 2024,ketua komisi pilih kpu hasyim asyari pilih suara tps potensi laksana pungut suara susul lt,6,1,positif
Wed Feb 14 15:06:17 +0000 2024,kpu gelar rapat pleno sikap kondisi kuala lumpur,9,1,positif
Wed Feb 14 23:22:55 +0000 2024,id ri main,2,1,positif
Wed Feb 14 23:10:28 +0000 2024,odgj solo coblos milu,2,1,positif
Wed Feb 14 23:50:00 +0000 2024,kpu catat kait logistik milu,1,1,positif
Wed Feb 14 17:39:34 +0000 2024,daftar pilih dpt milu capai juta jiwa suara masuk juta eh prabowo langsung klaim menang deklarasi menang real kpu hasil lempar handuk,19,1,positif
Wed Feb 14 15:33:35 +0000 2024,teman ness bantu kawal milu website milu dot kpu dot id kalo teman cross check data masuk salah baca sistem utama suara hear up drastis cont,0,0,netral
Wed Feb 14 14:46:08 +0000 2024,ketua komisi pilih kpu hasyim asyari surat suara pungut suara tps tukar lt,6,1,positif
Wed Feb 14 16:11:21 +0000 2024,hasil real count kpu pilpres pileg link pantau akses,9,1,positif
Wed Feb 14 16:45:07 +0000 2024,foto nyeleneh komeng surat suara dewan wakil daerah dpd dapil jawa barat viral hasil quick count kpu wib hasil komeng bilang unggul banding kandidat,11,1,positif
Wed Feb 14 12:13:35 +0000 2024,muhammadiyah dukung paslon pilpres sabar tunggu kpu,10,1,positif
Wed Feb 14 22:01:22 +0000 2024,pdip oposisi hasto kristiyanto tunggu hitung resmi kpu,1,1,positif
Wed Feb 14 15:37:54 +0000 2024,kawalpemilu gtgtgt kpu milu,0,0,netral
Wed Feb 14 14:32:09 +0000 2024,prabowo subianto dukung tunggu hasil resmi komisi pilih kpu,11,1,positif
Wed Feb 14 23:36:24 +0000 2024,jk duga curang pilpres tunggu hasil kpu,2,1,positif
Wed Feb 14 23:17:31 +0000 2024,capres pilpres anies baswedan ganjar pranowo hasil final hitung suara kpu,14,1,positif
Wed Feb 14 14:07:38 +0000 2024,ketua kpu hasyim asyari surat suara tps kabupatenkota provinsi tukar,3,1,positif
Wed Feb 14 17:05:12 +0000 2024,pj gubernur sumut masyarakat tunggu hasil resmi rekapitulasi kpu,6,1,positif
Wed Feb 14 21:39:12 +0000 2024,anies baswedan kpu tuntas tugas hitung suara,4,1,positif
Wed Feb 14 15:57:50 +0000 2024,duduk indonesia kpu juta jiwa,2,1,positif
Wed Feb 14 15:44:05 +0000 2024,kpu persen data hasil hitung suara unggah tugas kpps sistem informasi rekapitupasi hitung suara sirekap,5,1,positif
Wed Feb 14 14:55:36 +0000 2024,kpu muncul nomor induk duduk cek daftar pilih dpt online salah input pilih fiktif,-10,-1,negatif
Wed Feb 14 17:31:54 +0000 2024,sambang aniesmuhaimin jusuf kalla sepakat tunggu hitung kpu lt,8,1,positif
Wed Feb 14 13:29:30 +0000 2024,link cek real count kpu pantau hasil milu,3,1,positif
Wed Feb 14 15:25:19 +0000 2024,curang milu,-5,-1,negatif
Wed Feb 14 13:33:08 +0000 2024,lembaga selenggara milu gelar proses pungut suara rabu februari,5,1,positif
Wed Feb 14 16:19:35 +0000 2024,quick count prabowogibran unggul anies dukung tunggu hasil resmi kpu,10,1,positif
Wed Feb 14 15:27:10 +0000 2024,tunggu hasil resmi kpu demokrasi indonesia jalan saudara kali prabowo,6,1,positif
Wed Feb 14 20:36:21 +0000 2024,budget trilyunan server lot,-5,-1,negatif
Wed Feb 14 10:57:04 +0000 2024,tunggu hitung kpu selesai buruburu santai anies siar live kompas tv rabu anies milik rencana quick count lembaga survei rilis,9,1,positif
Tue Feb 13 22:39:11 +0000 2024,h moga negeri pimpin,1,1,positif
Tue Feb 13 22:37:35 +0000 2024,pilih ngab,-2,-1,negatif
Tue Feb 13 15:29:54 +0000 2024,potensi curang milu nilai milu saksi special program channel youtube metrotvnews,8,1,positif
Tue Feb 13 17:28:29 +0000 2024,thir,0,0,netral
Tue Feb 13 20:10:04 +0000 2024,saksi live streaming hitung rekapitulasi suara milu inggris raya irlandia rabu februari gmt akun youtube kbri london tv,7,1,positif
Tue Feb 13 20:33:03 +0000 2024,notice ri,0,0,netral
Tue Feb 13 23:47:41 +0000 2024,jelang coblos calon presiden nomor urut mahfud md kondisi tenang solat subuh masjid diam sleman diy mahfud bilang tanah suci kampanye,23,1,positif
Tue Feb 13 23:31:00 +0000 2024,pov anggota kpps nurul lantik anggota kpps langsung franchise toko alfamart butuh tps sedia,-3,-1,negatif
Tue Feb 13 22:50:43 +0000 2024,mari bersamasama cipta milu damai jujur adil ayo hak pilih tps februari pilih sesuai hati nurani,17,1,positif
Tue Feb 13 23:45:10 +0000 2024,selamat milu mari sukses milu tps hak suara pilih suara bangsa pesan albi golput ya sahabat,24,1,positif
Tue Feb 13 23:50:00 +0000 2024,pilih presiden pilpres pasang caprescawapres potensi putar syarat penuh milu langsung putar,11,1,positif
Tue Feb 13 16:31:38 +0000 2024,taun ga dosa masuk neraka valentine dosa balas buruk akhirat pilih nomer,-27,-1,negatif
Tue Feb 13 22:36:42 +0000 2024,kontaners lupa tps buka jam suara indonesia,6,1,positif
Tue Feb 13 23:36:50 +0000 2024,tps ancam bau coblos wc kena tata letak lokal wc bilik suara halaman wc simpan kotak suara tugas celup tinta jari,-18,-1,negatif
Tue Feb 13 22:42:58 +0000 2024,takdir orang pimpin nasib bangsa tps hak suara kawal milu,3,1,positif
Tue Feb 13 23:21:49 +0000 2024,februari warga indonesia melbourne raya milu proses jalan lancar jarak pisah tanah air suara arti,7,1,positif
Tue Feb 13 14:26:14 +0000 2024,tolak provokasi cipta milu damai papua,-3,-1,negatif
Tue Feb 13 22:53:15 +0000 2024,kuy guys bareng bang iju menang partai demokrat ntb coblos nomor partai demokrat,9,1,positif
Tue Feb 13 22:24:31 +0000 2024,kawan jakarta barat jakarta utara kep ribu mohon dukung suara konco mas gugun muhammad coblos partai buruh no urut,12,1,positif
Tue Feb 13 22:57:26 +0000 2024,selamat salur aspirasi,5,1,positif
Tue Feb 13 15:40:35 +0000 2024,yuk coblos pilih pimpin indonesia semarak pesta demokrasi hadir februari,11,1,positif
Tue Feb 13 16:25:57 +0000 2024,nonstop jam metro tv kawal titik negeri hadir informasi cepat rabu februari wib quick count wib,5,1,positif
Tue Feb 13 23:00:00 +0000 2024,biden jogetjoget,0,0,netral
Tue Feb 13 22:33:00 +0000 2024,belanja promo jsm alfamart biar hemat murah gopay ovo laku bayar periode februari,14,1,positif
Tue Feb 13 17:58:27 +0000 2024,ayo tps februari pilih jaga bangsa mari wujud milu aman damai,10,1,positif
Tue Feb 13 13:22:25 +0000 2024,suara untai doa catat suara beli amplop bansos,13,1,positif
Tue Feb 13 22:45:00 +0000 2024,spesial milu valentine promo super spesial jsm alfamart sahabat alfamart manja spesial milu valentine periode feb,27,1,positif
Tue Feb 13 15:00:03 +0000 2024,yuk celupin tinta biru coblos ya,8,1,positif
Tue Feb 13 23:58:24 +0000 2024,apel gabung tni polri jaga kondusifitas kabupaten sukoharjo tenang milu dulur saklawase,2,1,positif
Tue Feb 13 23:30:23 +0000 2024,today is the day valentine nasib ri udah redi nyoblos gaes lapor lengkap,4,1,positif
Tue Feb 13 16:00:02 +0000 2024,besok besok besok lupa hak suara milu hatihati serang fajar,-1,-1,negatif
Tue Feb 13 22:44:29 +0000 2024,selamat pesta demokrasi februari yuk sukses hak pilih ya sobatq karimin,18,1,positif
Tue Feb 13 23:58:07 +0000 2024,nyoblos yuk wisata ancol jakarta promo milu wisata sea world rp ribu,7,1,positif
Tue Feb 13 22:56:04 +0000 2024,mantra of the day pilih iba drama pepatah teliti tau sesal ayo tps hak pilih golput selamat pagi,-6,-1,negatif
Tue Feb 13 23:08:47 +0000 2024,selamat raya pesta demokrasi republik indonesia pergi tps hak pilih m a n y a l a,8,1,positif
Tue Feb 13 23:48:00 +0000 2024,aman kawal distribusi logistik milu polisi sektor ngemplak boyolali tuju milu,7,1,positif
Tue Feb 13 22:26:02 +0000 2024,god bless,0,0,netral
Tue Feb 13 22:24:53 +0000 2024,morning guys bismillah ya selamat demokrasi golput,14,1,positif
Tue Feb 13 16:01:17 +0000 2024,catat,0,0,netral
Tue Feb 13 22:41:40 +0000 2024,milu milik hubung erat agenda manusia loh yuk bahas,11,1,positif
Tue Feb 13 23:32:13 +0000 2024,senin februari kajari aceh wakil kasubbag bina forkopimda aceh laksana panen raya padi lanud kababuapten aceh ri aceh acehbesar,0,0,netral
Tue Feb 13 23:34:31 +0000 2024,senin februari jpu kejar aceh laksana serah terima orang sangka barang bukti tahap ii hadap perkara t pidana seludup manusia people smugling ri aceh acehbesar,0,0,netral
Tue Feb 13 15:17:44 +0000 2024,zombiefreaks lupa besok hak suara tps ya,7,1,positif
Tue Feb 13 23:27:56 +0000 2024,senin februari kajari aceh damping kasih intel staff vicon jagung arah pantau posko milu ri aceh acehbesar,6,1,positif
Tue Feb 13 23:23:14 +0000 2024,senin februari kajari aceh pj bupati kapolres aceh lepas distribusi logistik milu pulo aceh kab aceh ri aceh acehbesar,1,1,positif
Tue Feb 13 15:05:36 +0000 2024,adakan tanggal februari singkat,-7,-1,negatif
Tue Feb 13 16:09:49 +0000 2024,vibes tuju besok tuh kayak vibes lebaran gue excited pilih baju excited nontonin antusiasme orang excited cari diskon milu choose wisely gengs,-1,-1,negatif
Tue Feb 13 23:58:45 +0000 2024,potret aman milu wakapolres kompol pariastutik kasi propam cek personil aman gudang logistik ppk bendosari jalan sesuai sop aman dulur saklawase,-4,-1,negatif
Tue Feb 13 21:50:33 +0000 2024,anak rantau nyoblos tps ya jam siang presidenya denga catat bawa ktp kertas suara coba deh kali suara arti salah pimpin guys,6,1,positif
Tue Feb 13 17:42:04 +0000 2024,nyoblos ngaruh suara yg ngaruh koar bayar retorika bayar milu entar habis milu ya business as usual,11,1,positif
Tue Feb 13 21:38:58 +0000 2024,presiden pilih kalo pengin beli roti macan war,3,1,positif
Tue Feb 13 15:51:15 +0000 2024,syukur serang fajar tim sukses paslon amp caleg arti target market,1,1,positif
Tue Feb 13 23:08:31 +0000 2024,indonesia pilih,-2,-1,negatif
Tue Feb 13 23:56:50 +0000 2024,capres pakai hak pilih tps rumah hambalang bogor rabu,1,1,positif
Tue Feb 13 23:48:06 +0000 2024,capres pakai hak suara tps lokasi diam lebak bulus jakarta selatan,-2,-1,negatif
Tue Feb 13 22:30:42 +0000 2024,udah tenang pagi nyoblos,6,1,positif
Tue Feb 13 06:18:48 +0000 2024,bawa tps tanggal februari,-3,-1,negatif
Tue Feb 13 16:00:50 +0000 2024,buah undang,4,1,positif
Tue Feb 13 11:43:26 +0000 2024,peran langsung jujur adil,11,1,positif
Tue Feb 13 17:00:00 +0000 2024,besok awas suara andawaspada,6,1,positif
Tue Feb 13 02:11:08 +0000 2024,yu guys cek cek,-7,-1,negatif
Tue Feb 13 10:08:23 +0000 2024,lihat track record prestasi dimilikin paslon pilih ku jatuh paslon orang cerdas biar jahat hadir,1,1,positif
Tue Feb 13 08:23:59 +0000 2024,exit poll negeri saji data ganjarmahfud menang bawaslu aneh hitung selengkapnyagtgt,10,1,positif
Tue Feb 13 03:16:41 +0000 2024,kriteria timbang pilih presiden besok bingung,1,1,positif
Tue Feb 13 10:46:53 +0000 2024,persen prabowogibran putar gimana tanggap der tulis kolom komentar ya,9,1,positif
Tue Feb 13 06:36:59 +0000 2024,dasar video lembar c kwk hilang gaeess lokasi distrik yagai paniai papua moga id solusi semangat,11,1,positif
Tue Feb 13 15:01:27 +0000 2024,ya tanggap capres cawapres timses paslon film dirty vote simak informasi,13,1,positif
Tue Feb 13 13:13:48 +0000 2024,tinggal masyarakat indonesia hak suara pilpres simak tata coblos yld,9,1,positif
Tue Feb 13 15:47:57 +0000 2024,indonesia raya pilih integritas,-2,-1,negatif
Tue Feb 13 14:01:00 +0000 2024,anies besok pagi nyoblos markas timnas amin,4,1,positif
Tue Feb 13 10:40:20 +0000 2024,pimpin pergi pimpin pergi,2,1,positif
Tue Feb 13 15:14:30 +0000 2024,titi maju kualitas milu kali milu saksi special program channel youtube metrotvnews,11,1,positif
Tue Feb 13 16:40:18 +0000 2024,ndang milu ndang wes besok lupa nyoblos pilih insyaallah pilih sungguh pimpin negara hati,5,1,positif
Tue Feb 13 17:05:04 +0000 2024,kpu id nilai melempem galak awas hadap langgar milu masuk fakta saksi special program channel youtube metrotvnews,8,1,positif
Tue Feb 13 11:40:57 +0000 2024,rebut diskon tinta ungu milu bawa nyoblos besok oh ya lho posting seru tps tag cus,13,1,positif
Tue Feb 13 11:04:31 +0000 2024,tinggal pantau hasil hitung cepat milu lembaga survei nasional februari,7,1,positif
Tue Feb 13 15:59:11 +0000 2024,ngeringeri kubu goreng isu,0,0,netral
Tue Feb 13 22:45:00 +0000 2024,caprescawapres tps nyoblos cek lokasi yuk sobat holopis coblos valentine tweet,4,1,positif
Tue Feb 13 14:56:11 +0000 2024,mending putar putar,2,1,positif
Tue Feb 13 09:32:45 +0000 2024,puncak milu salah coblos surat suara simak resmi kpu,0,0,netral
Tue Feb 13 11:09:02 +0000 2024,presiden jokowi negara nyoblos tps gambir undang langsung ketua kpps,11,1,positif
Tue Feb 13 23:30:12 +0000 2024,putar putar,0,0,netral
Tue Feb 13 06:00:11 +0000 2024,damai milu,0,0,netral
Tue Feb 13 15:45:31 +0000 2024,seleb suka kumpul seleb kumpul amp seleb idola mengkampanyekan,0,0,netral
Tue Feb 13 16:15:04 +0000 2024,it si wednesday the th selamat milu amp pilpres rakanrakan indonesia kuasa pesta demokrasi,12,1,positif
Tue Feb 13 22:55:08 +0000 2024,warga indonesia tps pilih,-2,-1,negatif
Tue Feb 13 02:18:16 +0000 2024,rawan saksi milu dokumentasi bentuk digital utama foto fitur time stamp,3,1,positif
Tue Feb 13 06:00:34 +0000 2024,jaga aman jelang milu,5,1,positif
Tue Feb 13 02:00:00 +0000 2024,suara persen satusatunya syarat putar lantas syarat menang putar,8,1,positif
Tue Feb 13 21:08:31 +0000 2024,enak habis tonton cari sarap langsung tps nyoblos keleus ya pulang nyoblos molor,11,1,positif
Tue Feb 13 16:53:53 +0000 2024,apatis hadap pilpres pilih niat coblos harih orangorang suruh coblos surat syarat coblos daerah,-3,-1,negatif
Tue Feb 13 06:00:22 +0000 2024,milu damai demokrasi indonesia,0,0,netral
Tue Feb 13 06:00:16 +0000 2024,bangsa tangan anak muda indonesia,-4,-1,negatif
Tue Feb 13 06:00:41 +0000 2024,milu pesta demokrasi indonesia sukses milu,7,1,positif
Tue Feb 13 23:40:50 +0000 2024,selamat undi rakyat indonesia,5,1,positif
Tue Feb 13 17:51:20 +0000 2024,massa bakar kotak suara distrik paniai papua kpu bakar picu hoaks formulir c palsu form asli hologram barcode lsm desak bawaslu selidik insiden,7,1,positif
Tue Feb 13 14:02:00 +0000 2024,nyoblos besok hambalang malam prabowo gelar kaji,5,1,positif
Tue Feb 13 13:46:10 +0000 2024,sanksi moral masyarakat berat bawa umur hidup dunianoted,11,1,positif
Tue Feb 13 12:38:05 +0000 2024,tpn resah publik hadap quick count fair,-2,-1,negatif
Tue Feb 13 23:27:34 +0000 2024,mahfud jelang coblos takdir sesuai usaha,7,1,positif
Tue Feb 13 20:59:14 +0000 2024,dirty vote kawal milu close the door bangun bawaslu papua tidur serang fajar nyoblos hint laura basuki komeng rabu abu valentine boy bong turu gemini yaa hayyu yaa qoyyum,2,1,positif
Tue Feb 13 20:12:07 +0000 2024,tahan rutan bareskrim nyoblos,1,1,positif
Tue Feb 13 21:08:14 +0000 2024,selamat mengundimenyoblos rakyat indonesia anies amp cak imin,5,1,positif
Tue Feb 13 15:58:16 +0000 2024,tinggal suara dpd dpr sisa sold out harga nego,2,1,positif
Tue Feb 13 14:19:58 +0000 2024,coblos kertas suara buka kertas suara coblos tangan kanan tangan kiri pegang kertas suara kiri paku kena tangan kiri coblos sisi kanan mudah lepas paku sobek,-3,-1,negatif
Tue Feb 13 20:07:22 +0000 2024,jaga demokrasi lawan hoaks jamin milu integritas,-2,-1,negatif
Tue Feb 13 20:04:45 +0000 2024,sikap universitas al azhar jelang milu singgung langgar etik anwar usman hasyim asyari,6,1,positif
Tue Feb 13 22:13:37 +0000 2024,rewang ora turu lho ki waspada posisi defensif ora sono serang,-3,-1,negatif
Tue Feb 13 14:02:57 +0000 2024,pungut suara milu kepala dishub dki jakarta syafrin liputo selasa,2,1,positif
Tue Feb 13 17:09:53 +0000 2024,infografis faktafakta milu gen z wajib download aplikasi idn konten tarik,-4,-1,negatif
Tue Feb 13 14:38:06 +0000 2024,februari ayo tps presiden pilih,5,1,positif
Tue Feb 13 06:40:46 +0000 2024,sutradara pakar dirty vote polisi isi film uu milu lengkap via,1,1,positif
Tue Feb 13 02:53:54 +0000 2024,respons gibran rakabuming film dirty vote viral curang sila bukti lengkap via,-1,-1,negatif
Tue Feb 13 08:35:21 +0000 2024,fakta film dirty vote anggap tendensius biaya produksi sengaja liris tenang,1,1,positif
Tue Feb 13 14:43:40 +0000 2024,keliru angka klaim hasil exit poll pilpres tps negeri,4,1,positif
Tue Feb 13 14:40:38 +0000 2024,keliru video isi nomor urut pasang capres cawapres pilpres surat suara ganti,12,1,positif
Tue Feb 13 17:18:02 +0000 2024,buka mata amp hati nurani pilih republik indonesia pilih pimpin wibawa akhlak amp bijak presiden amp wakil presiden pilih pimpin rekam jejak bersih korupsi nepotisma amp kronisma,8,1,positif
Tue Feb 13 22:49:44 +0000 2024,kawal milu yukdi mantenginya sindonews selamat pesta demokrasi hak suara sesuai hati nurani,17,1,positif
Wed Feb 14 22:28:35 +0000 2024,selamat prabowo mas gibran moga indonesia maju tuju indonesia emas,9,1,positif
Wed Feb 14 22:56:17 +0000 2024,program dob manfaat khusus generasi muda papua dob buka akses bangun dampak sejahtera rakyat papua harap manfaat masyarakat papua jagankri jam rekap,10,1,positif
Wed Feb 14 22:56:51 +0000 2024,papua rupa saudara indonesia sejarah papua pangku indonesia papua merdeka indonesia jagankri jam rekap,3,1,positif
