full_text,text_weight,text_weight_label,class_sentiment
kenal milu hasil quick count beda hasil kpu ketua mpr ri bambang soesatyo bamsoet selamat menang prabowogibran pilpres dasar hasil quick count,19,1,positif
sikap gentleman anies baswedan hormat putus kpu demokrat sejati,8,1,positif
link cek hasil real count resmi kpu pilpres simak hasil,9,1,positif
nik janggal kaltim kpu salah input,-8,0,negatif
viral edar foto kpps serang banten pakai kemeja warna khas prabowogibran kpu ganti kostum,8,1,positif
selamat id amp ri suskses selenggara milu surat suara goib coblos nomer urut,10,1,positif
anggota kpu provinsi bengkulu alpin samsen hak pilih tps kota medan camat kota manna kabupaten bengkulu selatan rabu februari,-7,0,negatif
link real count kpu ri lihat hasil hitung suara milu pilpres website resmi,13,1,positif
capres nomor urut anies baswedan respons hasil quick count pilpres unggul paslon prabowo subiantogibran rakabuming anies tunggu hitung suara resmi kpu ri selesai tunggu,15,1,positif
jurdil metode rekapitulasi suara pakai beda banget qc web kpu kawal milu hatihati hitung bikin pks milu prabs kena tipu sujud syukur duluan hitung internal,3,1,positif
jadwal hasil milu sumpahjanji presiden wakil presiden,9,1,positif
id saksi live streaming konferensi pers kembang laksana pungut hitung suara tps milu rabu februari wib kanal youtube kpu ri,12,1,positif
hasil real count kpu milu,5,1,positif
giring percaya qc id gantung,-1,0,negatif
kpu mengeklaim situs resmi alam ratus juta serang siber pungut suara rabu,4,1,positif
milu nyata sah gagal id ri,0,1,netral
tugas kpu laku jemput suara milu door door pasien rscm jakarta,1,1,positif
cek hasil hitung milu portal resmi komisi pilih kpu,3,1,positif
afifuddin akses website kpu akses,4,1,positif
milu aman damai id,0,1,netral
website id down akses real count paksa mempercayai hasil quick count rupa sample real vote hmmm,6,1,positif
pandu praktis pantau hasil milu akses cek real count kpu,12,1,positif
kpu buka pungut suara susul tps,5,1,positif
resmi kpu maret tanggal maret nih wkwkwk,1,1,positif
presiden ri kpu kemarin malam tidur nya nyenyak amin,4,1,positif
denial lu tungguin tunggu hasil hitung kpu,5,1,positif
cek real count kpu milu pilpres pileg,-2,0,negatif
ganjar tunggu hasil resmi kpu tanggap hitung cepat pilpres,18,1,positif
pojok pilih exit poll quick count hitung resmi beda atur exit poll quick count milu beda hitung resmi kpu baca kompas,1,1,positif
ketua komisi pilih kpu hasyim asyari pilih suara tps potensi laksana pungut suara susul lt,6,1,positif
kpu gelar rapat pleno sikap kondisi kuala lumpur,9,1,positif
id ri mainmain,0,1,netral
odgj solo coblos milu,2,1,positif
kpu catat kait logistik milu,1,1,positif
daftar pilih dpt milu capai juta jiwa suara masuk juta eh prabowo langsung klaim menang deklarasi menang real kpu hasil lempar handuk,19,1,positif
teman ness bantu kawal milu website milu dot kpu dot id kalo teman cross check data masuk salah baca sistem utama suara hear up drastis cont,0,1,netral
ketua komisi pilih kpu hasyim asyari surat suara pungut suara tps tukar lt,6,1,positif
hasil real count kpu pilpres pileg link pantau akses,9,1,positif
foto nyeleneh komeng surat suara dewan wakil daerah dpd dapil jawa barat viral hasil quick count kpu wib hasil komeng bilang unggul banding kandidat,11,1,positif
muhammadiyah dukung paslon pilpres sabar tunggu kpu,10,1,positif
pdip oposisi hasto kristiyanto tunggu hitung resmi kpu,1,1,positif
kawalpemilu gtgtgt kpu milu,0,1,netral
prabowo subianto dukung tunggu hasil resmi komisi pilih kpu,11,1,positif
duga curang pilpres tunggu hasil kpu,2,1,positif
capres pilpres anies baswedan ganjar pranowo hasil final hitung suara kpu,14,1,positif
ketua kpu hasyim asyari surat suara tps kabupatenkota provinsi tukar,3,1,positif
pj gubernur sumut masyarakat tunggu hasil resmi rekapitulasi kpu,6,1,positif
anies baswedan kpu tuntas tugas hitung suara,4,1,positif
duduk indonesia kpu juta jiwa,2,1,positif
kpu persen data hasil hitung suara unggah tugas kpps sistem informasi rekapitupasi hitung suara sirekap,5,1,positif
kpu muncul nomor induk duduk cek daftar pilih dpt online salah input pilih fiktif,-10,0,negatif
sambang aniesmuhaimin jusuf kalla sepakat tunggu hitung kpu lt,8,1,positif
link cek real count kpu pantau hasil milu,3,1,positif
curang milu,-5,0,negatif
lembaga selenggara milu gelar proses pungut suara rabu februari,5,1,positif
quick count prabowogibran unggul anies dukung tunggu hasil resmi kpu,10,1,positif
tunggu hasil resmi kpu demokrasi indonesia jalan saudara kali prabowo,6,1,positif
budget trilyunan server lot,-5,0,negatif
tunggu hitung kpu selesai buruburu santai anies siar live kompas tv rabu anies milik rencana quick count lembaga survei rilis,9,1,positif
h moga negeri pimpin,1,1,positif
pilih ngab,-2,0,negatif
potensi curang milu nilai milu saksi special program channel youtube metrotvnews,8,1,positif
thir,0,1,netral
saksi live streaming hitung rekapitulasi suara milu inggris raya irlandia rabu februari gmt akun youtube kbri london tv,7,1,positif
notice ri,0,1,netral
jelang coblos calon presiden nomor urut mahfud md kondisi tenang solat subuh masjid diam sleman diy mahfud bilang tanah suci kampanye,23,1,positif
pov anggota kpps nurul lantik anggota kpps langsung franchise toko alfamart butuh tps sedia,-3,0,negatif
mari bersamasama cipta milu damai jujur adil ayo hak pilih tps februari pilih sesuai hati nurani,17,1,positif
selamat milu mari sukses milu tps hak suara pilih suara bangsa pesan albi golput ya sahabat,24,1,positif
pilih presiden pilpres pasang caprescawapres potensi putar syarat penuh milu langsung putar,11,1,positif
dosa masuk neraka valentine dosa balas buruk akhirat pilih nomer,-22,0,negatif
kontaners lupa tps buka jam suara indonesia,6,1,positif
tps ancam bau coblos wc kena tata letak lokal wc bilik suara halaman wc simpan kotak suara tugas celup tinta jari,-18,0,negatif
takdir orang pimpin nasib bangsa tps hak suara kawal milu,3,1,positif
februari warga indonesia melbourne raya milu proses jalan lancar jarak pisah tanah air suara arti,7,1,positif
tolak provokasi cipta milu damai papua,-3,0,negatif
yuk guys bareng bang iju menang partai demokrat ntb coblos nomor partai demokrat,12,1,positif
kawan jakarta barat jakarta utara kep ribu mohon dukung suara konco mas gugun muhammad coblos partai buruh no urut,12,1,positif
selamat salur aspirasi,5,1,positif
yuk coblos pilih pimpin indonesia semarak pesta demokrasi hadir februari,11,1,positif
nonstop jam metro tv kawal titik negeri hadir informasi cepat rabu februari wib quick count wib,5,1,positif
biden jogetjoget,0,1,netral
belanja promo jsm alfamart biar hemat murah gopay ovo laku bayar periode februari,14,1,positif
ayo tps februari pilih jaga bangsa mari wujud milu aman damai,10,1,positif
suara untai doa catat suara beli amplop bansos,13,1,positif
spesial milu valentine promo super spesial jsm alfamart sahabat alfamart manja spesial milu valentine periode feb,27,1,positif
yuk celupin tinta biru coblos ya,8,1,positif
apel gabung tni polri jaga kondusifitas kabupaten sukoharjo tenang milu dulur saklawase,2,1,positif
today is the day valentine nasib ri redi nyoblos gaes lapor lengkap,4,1,positif
besok besok besok lupa hak suara milu hatihati serang fajar,-1,0,negatif
selamat pesta demokrasi februari yuk sukses hak pilih ya sobatq karimin,18,1,positif
nyoblos yuk wisata ancol jakarta promo milu wisata sea world rp ribu,7,1,positif
mantra of the day pilih iba drama pepatah teliti tau sesal ayo tps hak pilih golput selamat pagi,-6,0,negatif
selamat raya pesta demokrasi republik indonesia pergi tps hak pilih a n ya a l a,12,1,positif
aman kawal distribusi logistik milu polisi sektor ngemplak boyolali tuju milu,7,1,positif
morning guys bismillah ya selamat demokrasi golput,14,1,positif
milu milik hubung erat agenda manusia loh yuk bahas,11,1,positif
senin februari kajari aceh wakil kasubbag bina forkopimda aceh laksana panen raya padi lanud kababuapten aceh ri aceh acehbesar,0,1,netral
senin februari jpu kejar aceh laksana serah terima orang sangka barang bukti tahap ii hadap perkara t pidana seludup manusia people smugling ri aceh acehbesar,0,1,netral
zombiefreaks lupa besok hak suara tps ya,7,1,positif
senin februari kajari aceh damping kasih intel staff vicon jagung arah pantau posko milu ri aceh acehbesar,6,1,positif
senin februari kajari aceh pj bupati kapolres aceh lepas distribusi logistik milu pulo aceh kab aceh ri aceh acehbesar,1,1,positif
adakan tanggal februari singkat,-7,0,negatif
vibes tuju besok tuh kayak vibes lebaran gue excited pilih baju excited nontonin antusiasme orang excited cari diskon milu choose wisely gengs,-1,0,negatif
potret aman milu wakapolres kompol pariastutik kasih propam cek personil aman gudang logistik ppk bendosari jalan sesuai sop aman dulur saklawase,1,1,positif
anak rantau nyoblos tps ya jam siang presidenya denga catat bawa ktp kertas suara coba deh kali suara arti salah pimpin guys,6,1,positif
nyoblos ngaruh suara yg ngaruh koar bayar retorika bayar milu entar habis milu ya business as usual,11,1,positif
presiden pilih kalo pengin beli roti macan war,3,1,positif
syukur serang fajar tim sukses paslon amp caleg arti target market,1,1,positif
its the presidential election day come on indonesians hak suara golput,2,1,positif
indonesia pilih,-2,0,negatif
capres pakai hak pilih tps rumah hambalang bogor rabu,1,1,positif
capres pakai hak suara tps lokasi diam lebak bulus jakarta selatan,-2,0,negatif
tenang pagi nyoblos,6,1,positif
bawa tps tanggal februari,-3,0,negatif
buah undang,4,1,positif
beda pilih ayo tps,0,1,netral
peran langsung jujur adil,11,1,positif
besok awas suara andawaspada,6,1,positif
yuk guys cek cek,-3,0,negatif
lihat track record prestasi dimilikin paslon pilih ku jatuh paslon orang cerdas biar jahat hadir,1,1,positif
exit poll negeri saji data ganjarmahfud menang bawaslu aneh hitung selengkapnyagtgt,10,1,positif
kriteria timbang pilih presiden besok bingung,1,1,positif
persen prabowogibran putar tanggap der tulis kolom komentar ya,9,1,positif
dasar video lembar c kwk hilang gaeess lokasi distrik yagai paniai papua moga id solusi semangat,11,1,positif
ya tanggap capres cawapres timses paslon film dirty vote simak informasi,13,1,positif
tinggal masyarakat indonesia hak suara pilpres simak tata coblos yld,9,1,positif
indonesia raya pilih integritas,-2,0,negatif
anies besok pagi nyoblos markas timnas amin,4,1,positif
pimpin pergi pimpin pergi,2,1,positif
titi maju kualitas milu kali milu saksi special program channel youtube metrotvnews,11,1,positif
ndang milu ndang wes besok lupa nyoblos pilih insyaallah pilih sungguh pimpin negara hati,5,1,positif
kpu id nilai melempem galak awas hadap langgar milu masuk fakta saksi special program channel youtube metrotvnews,8,1,positif
rebut diskon tinta ungu milu bawa nyoblos besok oh ya lho posting seru tps tag cus,13,1,positif
tinggal pantau hasil hitung cepat milu lembaga survei nasional februari,7,1,positif
ngeringeri kubu goreng isu,0,1,netral
caprescawapres tps nyoblos cek lokasi yuk sobat holopis coblos valentine tweet,4,1,positif
mending putar putar,2,1,positif
puncak milu salah coblos surat suara simak resmi kpu,0,1,netral
presiden jokowi negara nyoblos tps gambir undang langsung ketua kpps,11,1,positif
putar putar,0,1,netral
damai milu,0,1,netral
seleb suka kumpul seleb kumpul amp seleb idola mengkampanyekan,0,1,netral
presiden nya prabowo,3,1,positif
si wednesday the th selamat milu amp pilpres rakanrakan indonesia kuasa pesta demokrasi,12,1,positif
warga indonesia tps pilih,-2,0,negatif
rawan saksi milu dokumentasi bentuk digital utama foto fitur time stamp,3,1,positif
jaga aman jelang milu,5,1,positif
suara persen satusatunya syarat putar lantas syarat menang putar,8,1,positif
enak habis tonton cari sarap langsung tps nyoblos keleus ya pulang nyoblos molor,11,1,positif
apatis hadap pilpres pilih niat coblos harih orangorang suruh coblos surat syarat coblos daerah,-3,0,negatif
milu damai demokrasi indonesia,0,1,netral
bangsa tangan anak muda indonesia,-4,0,negatif
milu pesta demokrasi indonesia sukses milu,7,1,positif
selamat undi rakyat indonesia,5,1,positif
massa bakar kotak suara distrik paniai papua kpu bakar picu hoaks formulir c palsu form asli hologram barcode lsm desak bawaslu selidik insiden,7,1,positif
nyoblos besok hambalang malam prabowo gelar kaji,5,1,positif
sanksi moral masyarakat berat bawa umur hidup dunianoted,11,1,positif
tpn resah publik hadap quick count fair,-2,0,negatif
mahfud jelang coblos takdir sesuai usaha,7,1,positif
dirty vote kawal milu close the door bangun bawaslu papua tidur serang fajar nyoblos hint laura basuki komeng rabu abu valentine boy bong turu gemini ya hayyu ya qoyyum,10,1,positif
tahan rutan bareskrim nyoblos,1,1,positif
selamat mengundimenyoblos rakyat indonesia anies amp cak imin,5,1,positif
tinggal suara dpd dpr sisa sold out harga nego,2,1,positif
coblos kertas suara buka kertas suara coblos tangan kanan tangan kiri pegang kertas suara kiri paku kena tangan kiri coblos sisi kanan mudah lepas paku sobek,-3,0,negatif
jaga demokrasi lawan hoaks jamin milu integritas,-2,0,negatif
sikap universitas al azhar jelang milu singgung langgar etik anwar usman hasyim asyari,6,1,positif
rewang ora turu lho ki waspada posisi defensif ora sono serang,-3,0,negatif
pungut suara milu kepala dishub dki jakarta syafrin liputo selasa,2,1,positif
infografis faktafakta milu gen wajib download aplikasi idn konten tarik,-4,0,negatif
februari ayo tps presiden pilih,5,1,positif
sutradara pakar dirty vote polisi isi film uu milu lengkap via,1,1,positif
respons gibran rakabuming film dirty vote viral curang sila bukti lengkap via,-1,0,negatif
fakta film dirty vote anggap tendensius biaya produksi sengaja liris tenang,1,1,positif
keliru angka klaim hasil exit poll pilpres tps negeri,4,1,positif
keliru video isi nomor urut pasang capres cawapres pilpres surat suara ganti,12,1,positif
link tonton hasil quick count pilpres litbang kompas lembaga paslon unggul,-7,0,negatif
buka mata amp hati nurani pilih republik indonesia pilih pimpin wibawa akhlak amp bijak presiden amp wakil presiden pilih pimpin rekam jejak bersih korupsi nepotisma amp kronisma,8,1,positif
kawal milu yukdi mantenginya sindonews selamat pesta demokrasi hak suara sesuai hati nurani,17,1,positif
selamat prabowo mas gibran moga indonesia maju tuju indonesia emas,9,1,positif
program dob manfaat khusus generasi muda papua dob buka akses bangun dampak sejahtera rakyat papua harap manfaat masyarakat papua jagankri jam rekap,10,1,positif
papua rupa saudara indonesia sejarah papua pangku indonesia papua merdeka indonesia jagankri jam rekap,3,1,positif
mempercayai data rekap kacau curang an salah sistem kalo salah sistem henti sistem kalo curang an tolong henti rampok daulat rakyat rip demokrasi hindar,-44,0,negatif
milu sarana kuat integrasi bangsa masyarakat imbau jaga damai mari bersamasama milu ikhtiar jaga kuat integrasi bangsa jokowi jam rekap komeng partai buruh jam bu mega,21,1,positif
masyarakat kiwirok komit jaga pesta demokrasi aman sukses sukses milu masyarakat distrik kiwirok kabupaten gunung bintang papua gunung gelar deklarasi nyata sikap milu damai jagankri jokowi jam,17,1,positif
rekomendasi sepatu aerostreet osaka murah kantong wajib cek save cowok nya a thread tag real count dukung sirekap jam fk partai buruh komeng,3,1,positif
hidup indonesia raya,2,1,positif
progres bangun istana presiden ikn capai persen istana presiden ikn gelar upacara merdeka republik indonesia agustus jokowi jam rekap komeng partai buruh jam bu mega,14,1,positif
curang catat link youtube untung alas salah input margin eror baca logika untung paslon jabar madura,-1,0,negatif
selenggara milu integritas arti kandung unsur selenggara jujur transparan akuntabel cermat akurat laksana tugas wenang integritas selenggara tolak ukur cipta milu demokratis jam rekap,15,1,positif
program dob manfaat positif khusus generasi muda papua daerah otonomi dob buka emas sejahtera masyarakat papua jagankri jokowi jam rekap,7,1,positif
perintah pindah asn ikn kaltim juli target huni huni juli pindah pindah asn mudah jam rekap partai buruh bu mega,1,1,positif
masyarakat distrik kiwirok kab gunung bintang papua gunung gelar deklarasi amp nyata sikap milu damai deklarasi milu damai laku sbgi wujud jaga pesta demokrasi berjln aman amp lancar jagankri jokowi,14,1,positif
salah hitung hasil suara tps kpu tps sukapura kertasari kab bandung prabowo,1,1,positif
capres nomor urut prabowo subianto resmi coblos tps bojong koneng hambalang bogor jawa barat prabowo pamer jari tinta coblos,-5,0,negatif
diam hanyut tenang tenggelam bunuh sentuh,2,1,positif
kertas undi probowo lepas undi menang putar presiden republik indonesia hidup gemoy,7,1,positif
juli asn pindah ikn tahap asn pindah ikn juli pindah asn ikn laku tahap huni asn rampung jokowi jam rekap komeng partai buruh jam bu mega,3,1,positif
selamat presiden pilih brhrp budaya malu sirna malu korupsi malu tadah tangan gantung sgala bantu terap harap indonesia emas capai mimpi belaka,18,1,positif
hahaha,0,1,netral
daftar lokasi makan minum kabupaten kuningan sedia promo milu,4,1,positif
prabowo kpu real count,2,1,positif
hak marah kalah fan emyu,-9,0,negatif
bang lira juang henti garis finish lihat hasil rekap c singkron hasil sistem lupa quick qount,2,1,positif
puas hasil quick count pilpres,6,1,positif
sedih kalo percaya sistem rip demokrasi hadir kalo percaya hasil compang camping penuh curang an,-13,0,negatif
jadwal hasil milu sumpahjanji presiden wakil presiden,9,1,positif
anies hormat hasil dukung awas jalan hitung suara jalan kpu,14,1,positif
cak imin jaga suara amin insyaallah menang,13,1,positif
percaya sistem makan rip demokrasi percaya curang,-9,0,negatif
anies komitmen gerak ubah pengaruh tarik kelompok gerak ubah,0,1,netral
cak imin terima kasih dukung dukung kawal hitung suara,16,1,positif
pakistan satunya negara muslim super power balistik nuklir mggu upaya curang milu laku oligarki militer gagal rakyat rakyat indonesia laku lawan oligarki konglomerasi indonesia,-5,0,negatif
amp dirty vote vs silent vote,2,1,positif
suara pilih prabowo gibran kali group wa diam aja,2,1,positif
menang bangga,7,1,positif
data masuk persen prabowogibran unggul kabupatenkota sulsel pasang calon presiden calon wakil presiden caprescawapres nomor urut prabowo subianto gibran rakabumi raka,6,1,positif
menang parley bal jateng diy main liga chempeyens,6,1,positif
percaya quick count sirekap,2,1,positif
capres nomor urut anies baswedan hormat hasil suara kpu,5,1,positif
sorry bang rampok suara rampok daulat rakyat,-8,0,negatif
data real count situs resmi kpu komeng suara calon,3,1,positif
pdip oposisi hasto kristiyanto tunggu hitung resmi kpu,1,1,positif
pilih golput pilih sesuai akal sehat,3,1,positif
quick count prabowogibran unggul anies dukung tunggu hasil resmi kpu,10,1,positif
perangkat desa tewas sengat alir listrik tps jember,1,1,positif
antre nyoblos tps sepeda motor gadis cantik gasak maling,-3,0,negatif
sesal overshooting sekjen pdip peristiwa milu,3,1,positif
coblos rampung menag beda,1,1,positif
akademisi unisma serang negatif prabowo muncul simpati swing voters,-3,0,negatif
husnudzon allah doa allah prabowo presiden nyata diijabah tunggu puluh,22,1,positif
update hitung by sistem follow insaaallah independen real count susah percaya sistem rekap kacau,-6,0,negatif
hasil real count kpu pilpres pileg link pantau akses,9,1,positif
pidato prabowo istora presiden jokowi kenal kerja keras menteri kewalahan,5,1,positif
prabowogibran tunggu hasil resmi kpu janji prabowo ayom,6,1,positif
hasil real count kpu wib prabowogibran unggul provinsi jawa,5,1,positif
pidato anies baswedan juang selesai geser kanankiri,6,1,positif
situs kpu alami ratus juta serang siber betty website isi data hasil,-3,0,negatif
sekretaris pribadi bujang prabowo promosi pidato istora cari mantu,1,1,positif
pasang calon presiden wakil presiden tweet unggul telak pacitan sistem hitung suara real count paslon sapu bersih camat pacitan,5,1,positif
kpu hasil hormat harga kerja ubah,8,1,positif
kakanwil kemenkumham ntb laksana pungut suara milu tps khusus lapasrutan jalan lancar kendala,6,1,positif
coba guru matematika muntaber kalo kasih lihat,10,1,positif
babinsa siaga milu wilayah bina yogyakarta babinsa koramil danurejan laksana siaga aman milu makoramil danurejan monitoring wilayah binaa kemantren danurejan kota yogyakarta rabu,-1,0,negatif
sih tukang kayu solo menang pilkada solo menang pilkada solo menang pilgub jakarta menang pilpres menang pilpres menang pilpres menang tokoh hebat sejarah milu indonesia,32,1,positif
babinsa koramil tegalrejo kawal distribusi logistik milu yogyakarta kota laksana milu jalan lancar ganggu ancam babinsa koramil tegalrejo kodim kota yogyakarta bhabinkamtibmas,-2,0,negatif
pagi ketemu pagi kapok deh saksi gapaa sih alam mengsukseskan milu jago ambang kalah,2,1,positif
bhabinkamtibmas polsek benda kel jurumudi aipda m niam laksana kawal logistik milu rangkai coblos hitung pps lurah jurumudi kec benda kamis,-2,0,negatif
logistik tps sukses laksana milu,3,1,positif
milu sarana kuat integrasi bangsa masyarakat imbau jaga damai mari bersamasama milu ikhtiar jaga kuat integrasi bangsa jokowi jam rekap komeng partai buruh jam bu mega,21,1,positif
kemarin pagi gua buka twitter tweet gua tutugtuntas ngabisin tanggal lahir gua nyaksiin milu jam nonstop kado hadir saksi,-1,0,negatif
top sukses pesta demokrasi milu pln proyeksi sistem listrik kondisi aman h milu tanggal februari real count komeng plottwiststwin jam,9,1,positif
top pln data lokasilokasi strategis milu butuh pasok listrik tanah air real count komeng plottwiststwin jam,-2,0,negatif
best pln fokus aman pasok listrik dukung lancar milu paripurna real count komeng plottwiststwin jam,14,1,positif
masyarakat kiwirok komit jaga pesta demokrasi aman sukses sukses milu masyarakat distrik kiwirok kabupaten gunung bintang papua gunung gelar deklarasi nyata sikap milu damai jagankri jokowi jam,17,1,positif
sistem listrik nasional kondisi prima dirut pln darmawan prasodjo pimpin langsung apel siaga keluarga milu real count komeng plottwiststwin jam,9,1,positif
mantap direktur utama pln darmawan prasodjo pimpin langsung apel siaga listrik milu sistem listrik nasional kondisi prima real count komeng plottwiststwin jam,13,1,positif
jaksel tegal temu surat suara coblos madura parah desa undang sebar surat suara coblos rumah ketua kpps bakar,3,1,positif
kpu brutal main rakyat mesti diam ya data form sih tps masuk sistem kpu ubah x lipat rumus min kpu,-11,0,negatif
errornya gede suara gap berani adu,1,1,positif
suka suka we have admit that jokowi is one of the greatest politician of all time indonesia kalah milu solo winrate khusus tempur pdip tarik,6,1,positif
contoh salah tps tapanuli utara suara markup suara link,0,1,netral
milu sarana kuat integrasi bangsa masyarakat imbau jaga damai bersamasama pegang tanggung jaga nama indonesia negara demokratis laksana milu aman kondusif rekap komeng partai buruh jam,5,1,positif
arti milu langsung jujur adil,12,1,positif
the legend maju partai kampanye gedean pose beda kertas suara man of the match milu please welcome the real legend alfiansyah bustami alias komeng,8,1,positif
pamit undur jam terimakasih ucapakan bos markifer nanang akhmad,10,1,positif
surya paloh nyata berita bentuk pesimis paham tau main lapang alam milu berita januari minggu coblos,3,1,positif
polres purbalingga fasilitas tahan salur suara milu indonesia,5,1,positif
pantau laksana aman milu wilayah kalimantan kapolda jabat utama damping kapolresta palangka raya jabat utama polresta gelar video conference aula endra dharmalaksana rabu malam,-2,0,negatif
pangdam kasuari forkopimda papua barat terjun langsung lapang milu aman kondusif lengkap,9,1,positif
kapolsek senori pamatwil polres tuban polda jatim laksana cek laksana aman pungut suara milu polri,-2,0,negatif
milu narapidana rutan demak sambut proses demokrasi,4,1,positif
milu milu seru,5,1,positif
masyarakat kiwirok komit jaga milu aman deklarasi milu damai laku wujud jaga pesta demokrasi jalan aman lancar tuju cipta jagankri jokowi jam rekap,14,1,positif
menteri jokowi kompak pakai hitam nyoblos tps,-4,0,negatif
orba purapura pilih kuasa purapura bikin milu reformasi pemilupilpres antusias lampau sedih kalah milu langsung jujur adil buka pilpres,8,1,positif
senang rakyat buta bodoh milu catat sejarah tenggelam tirani malu rezim karuna ulah,1,1,positif
kumpul duga kecurangankecurangan milu temu tl a thread,5,1,positif
moga milu hasil pimpin bijak adil rakyat politisasi,11,1,positif
kapolsek senori pamatwil polres tuban polda jatim laksana cek laksana aman pungut suara milu polri,-2,0,negatif
milu vibesnya kayak lebaran,-3,0,negatif
gelap mata terang hati tuntun tunanetra pilih milu baca akses kompas praktis aplikasi unduh,1,1,positif
pt kai daop surabaya ratus bunga mawar cokelat langgan kak jarak hak pilih pilih milu laku beli tiket aplikasi access by kai,2,1,positif
milu menang prospek,7,1,positif
website kpu down milu pakar aman siber,-4,0,negatif
deret gaya hijab artis coblos milu,2,1,positif
sehat sehat panitia kpps saksi milu enihh kerja,14,1,positif
wkwkwk entar soksokan oposisi owww rakyat lupa sikap milu,3,1,positif
tugas kpps milu tinggal duga lelah,7,1,positif
jadwal hasil milu sumpahjanji presiden wakil presiden,9,1,positif
kustomfest bikin tidur jam ya milu,7,1,positif
sadly yes prbw ya know sehat blio bgt abistu dinasti bahlan milu ya milu tanggal februari formalitas,8,1,positif
kpu catat kait logistik milu,1,1,positif
pandu praktis pantau hasil milu akses cek real count kpu,12,1,positif
ajar ambil milu,-4,0,negatif
