created_at,username,full_text,indoBert Classification,indoBERT Classification score
Wed Mar 13 04:58:40 +0000 2024,cikamaya2211,popularitas prabowogibran semakin meningkat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9512342810630798
Wed Mar 13 04:58:37 +0000 2024,SutWulan,prabowogibran semakin unggul dalam perolehan suara yang terus meningkat inihasil dipilihrakyat,positif,0.9533381462097168
Wed Mar 13 04:57:23 +0000 2024,MilavlNuraini,kepercayaan rakyat terhadap prabowogibran terlihat dari perolehan suara mereka inihasil dipilihrakyat,positif,0.6011527180671692
Wed Mar 13 04:56:29 +0000 2024,trisna_abella,prabowogibran unggul dengan perolehan suara yang luar biasa mencerminkan dukungan masyarakat inihasil dipilihrakyat,positif,0.9783614277839661
Wed Mar 13 04:55:57 +0000 2024,MyrnaPutri99820,perolehan suara prabowogibran mencerminkan kepercayaan yang tinggi dari rakyat inihasil dipilihrakyat,positif,0.8355017304420471
Wed Mar 13 04:54:36 +0000 2024,pixie36369,suara rakyat memilih dengan tegas prabowogibran unggul dengan perolehan suara luar biasa inihasil dipilihrakyat,positif,0.9588391780853271
Wed Mar 13 04:54:17 +0000 2024,putrisafira7889,popularitas prabowogibran semakin meningkat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9512342810630798
Wed Mar 13 04:53:43 +0000 2024,elsaanabilaa33,dukungan besar dari masyarakat terlihat dari perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.605877697467804
Wed Mar 13 04:53:27 +0000 2024,farah_rahm97951,prabowogibran unggul dengan perolehan suara yang solid inihasil dipilihrakyat,positif,0.9308038353919983
Wed Mar 13 04:53:22 +0000 2024,mariskaamanah,dengan perolehan suara mencapai prabowogibran menunjukkan momentum yang kuat inihasil dipilihrakyat,netral,0.6717659831047058
Wed Mar 13 04:52:54 +0000 2024,slaridi12,kemenangan prabowogibran semakin nyata dengan perolehan suara inihasil dipilihrakyat,positif,0.7961663603782654
Wed Mar 13 04:52:09 +0000 2024,BilqisTera,prabowogibran semakin menunjukkan keunggulan yang konsisten dalam perolehan suara inihasil dipilihrakyat,positif,0.8960652351379395
Wed Mar 13 04:51:55 +0000 2024,sulyardini99,perolehan suara prabowogibran mencerminkan kepercayaan masyarakat pada mereka inihasil dipilihrakyat,positif,0.5085469484329224
Wed Mar 13 04:51:54 +0000 2024,felixrizal4,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 04:51:34 +0000 2024,rarasuci552,prabowogibran unggul dengan perolehan suara yang luar biasa mencerminkan dukungan masyarakat inihasil dipilihrakyat,positif,0.9783614277839661
Wed Mar 13 04:51:25 +0000 2024,WidodoLaks,prabowogibran memimpin dengan perolehan suara yang menggemparkan inihasil dipilihrakyat,positif,0.6360219717025757
Wed Mar 13 04:51:17 +0000 2024,seputarbol89,prabowogibran unggul dengan perolehan suara yang menggemparkan inihasil dipilihrakyat,positif,0.8953356146812439
Wed Mar 13 04:48:56 +0000 2024,ronaldi_ar47280,perolehan suara prabowogibran mencerminkan kepercayaan yang tinggi dari rakyat inihasil dipilihrakyat,positif,0.8355017304420471
Wed Mar 13 04:48:45 +0000 2024,HarjayaxzWaskit,kepercayaan masyarakat pada prabowogibran tercermin dari perolehan suara inihasil dipilihrakyat,netral,0.5790523290634155
Wed Mar 13 04:48:42 +0000 2024,AlfitaSintia,suara rakyat memilih prabowogibran terbukti dari perolehan suara yang luar biasa inihasil dipilihrakyat,positif,0.9714068174362183
Wed Mar 13 04:48:22 +0000 2024,dudi_budi94570,prabowogibran menunjukkan dominasinya dalam perolehan suara terbaru inihasil dipilihrakyat,netral,0.9616432189941406
Wed Mar 13 04:48:13 +0000 2024,AlisaDisti45654,kabar baik dari kpu semoga prabowogibran tetap memimpin dalam perolehan suara inihasil dipilihrakyat,positif,0.6553817391395569
Wed Mar 13 04:12:06 +0000 2024,Bawaslu_PdgPrm,selasa bawaslu padang pariaman menyerahkan data pengawasan tahapan pemungutan dan penghitungan serta rekapitulasi perolehan suara pemilihan umum,netral,0.9978658556938171
Wed Mar 13 04:11:51 +0000 2024,yossrsro,prabowogibran raih juta suara di provinsi ganjarmahfud dan aniesmuhaimin kalah jauh prabowo subiantogibran rakabuming raka menang telak di provinsi dengan perolehan suara,netral,0.9930849075317383
Wed Mar 13 04:08:00 +0000 2024,detikcom,mantan ketua kpk agus rahardjo mendatangi bawaslu ri dia melaporkan dugaan kecurangan pemilu berkaitan dengan perolehan suara dpd ri,netral,0.9967255592346191
Wed Mar 13 04:01:18 +0000 2024,absurdity_id,asli tidak tuh janganjangan karena dikatrol btw perolehan suara id berapa ya sekarang awas jangan lengah nanti tautau id sudah naikkan jadi garagara potong kue ini,negatif,0.9766390919685364
Wed Mar 13 03:42:27 +0000 2024,op_laoh,rapat pleno terbuka hasil penghitungan perolehan suara pemilu tahun tingkat kabupaten mimika lewat,netral,0.9979105591773987
Wed Mar 13 03:31:36 +0000 2024,kpu_majambi,helo pemili komisi pemilihan umum kpu kabupaten muaro jambi mengikuti pelaksanaan rapat terbuka rekapituasi perolehan suara pemilu tingkat provinsi jambi melanjutkan proses rekapitulasi dengan lancar jumat yang dilaksanakan di hotel swiss bell,netral,0.9891759753227234
Wed Mar 13 03:21:10 +0000 2024,Bisniscom,perolehan suara anak ketua partai di pileg ibas juara puan runner up,netral,0.9897863864898682
Wed Mar 13 03:19:02 +0000 2024,kpukabmaros,kpu menggelar rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara tingkat nasional pemilu tahun bersama kpu provinsi di hari ketiga senin di kantor kpu,netral,0.9976352453231812
Wed Mar 13 03:18:57 +0000 2024,NikenkrKurnia,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 03:18:26 +0000 2024,UpikgjPratama,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 03:16:20 +0000 2024,MartanikfNatsir,kemenangan prabowogibran tercermin dalam perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.8087133169174194
Wed Mar 13 03:16:09 +0000 2024,PrabowoklLaksmi,popularitas prabowogibran semakin meningkat dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9466604590415955
Wed Mar 13 03:15:11 +0000 2024,kpukabmaros,anggota kpu idham holik bersama sekretaris jenderal kpu bernad dermawan sutrisno memimpin rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara di tingkat ppln kuala lumpur di world trade center wtc kuala lumpur senin,netral,0.9976060390472412
Wed Mar 13 03:15:00 +0000 2024,sinpotv,kpu ri menetapkan paslon nomor urut prabowogibran unggul di provinsi kalimantan timur berdasarkan rekapitulasi hasil penghitungan perolehan suara pilpres,netral,0.9953457713127136
Wed Mar 13 03:14:51 +0000 2024,aqilla_ultra,kepercayaan besar masyarakat pada prabowogibran terbukti melalui perolehan suara inihasil dipilihrakyat,positif,0.8999922275543213
Wed Mar 13 03:14:03 +0000 2024,tempodotco,berbagai kecurangan pemilu memenuhi aspek hak angket lonjakan perolehan suara psi menjadi sorotan,netral,0.9907664060592651
Wed Mar 13 03:12:29 +0000 2024,kpukabmaros,saksikan live streaming rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara tingkat nasional serta penetapan hasil pemilu serentak tahun hari ke rabu maret mulai pukul wib di kanal youtube kpu ri jangan sampai ketinggalan,netral,0.9925227761268616
Wed Mar 13 03:12:25 +0000 2024,keishafaridaa,perolehan suara yang mencengangkan bagi prabowogibran mencerminkan keberhasilan mereka dalam memenangkan hati dan pikiran rakyat inihasil dipilihrakyat,positif,0.9536914229393005
Wed Mar 13 03:12:08 +0000 2024,pps_kademangan,pada minggu maret kpu provinsi jawa timur telah menyelesaikan rekapitulasi hasil penghitungan perolehan suara pemilu serentak tingkat provinsi berdasarkan hasil rekapitulasi tersebut tingkat partisipasi masyarakat jawa timur pada pemilu tahun sebesar,netral,0.9935917258262634
Wed Mar 13 03:11:18 +0000 2024,trierlin7,kabar baik dari kpu semoga prabowogibran tetap memimpin dalam perolehan suara inihasil dipilihrakyat,positif,0.6553817391395569
Wed Mar 13 03:10:15 +0000 2024,kpukabmaros,kpu menggelar rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara tingkat nasional pemilu tahun bersama kpu provinsi di hari kedua minggu di kantor kpu,netral,0.9975879192352295
Wed Mar 13 03:10:10 +0000 2024,muhrinto06,prabowogibran semakin unggul dalam perolehan suara yang terus meningkat inihasil dipilihrakyat,positif,0.9533381462097168
Wed Mar 13 03:10:10 +0000 2024,war_to_anto,perolehan suara yang mengagumkan bagi prabowogibran adalah hasil dari dedikasi mereka dalam melayani kepentingan rakyat inihasil dipilihrakyat,positif,0.9902925491333008
Wed Mar 13 03:10:04 +0000 2024,MuhhAmarr,bendera prabowogibran semakin berkibar di puncak perolehan suara inihasil dipilihrakyat,netral,0.8928920030593872
Wed Mar 13 03:09:44 +0000 2024,infoartiskini,dengan perolehan suara yang mencengangkan prabowogibran telah membuktikan bahwa mereka adalah pilihan yang diakui oleh mayoritas inihasil dipilihrakyat,positif,0.9535592794418335
Wed Mar 13 03:09:24 +0000 2024,NardiqxWahyuni,aspirasi dan harapan masyarakat tercermin dalam perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.9469566345214844
Wed Mar 13 03:09:23 +0000 2024,telisik_id,prabowogibran pimpin perolehan suara sementara pilpres di provinsi ganjarmahfud kedua,netral,0.9974097609519958
Wed Mar 13 03:09:01 +0000 2024,PatriciaqnKusma,keberhasilan prabowogibran tercermin dalam perolehan suara yang mencerminkan dukungan yang kuat dari rakyat inihasil dipilihrakyat,positif,0.9124664664268494
Wed Mar 13 03:08:59 +0000 2024,cutrinadgsdhay,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 03:08:23 +0000 2024,widiasepto,prabowogibran semakin mendominasi dalam perolehan suara yang terus bertambah inihasil dipilihrakyat,netral,0.6804182529449463
Wed Mar 13 03:07:44 +0000 2024,rimaanggraenira,prabowogibran semakin unggul dalam perolehan suara inihasil dipilihrakyat,positif,0.8819715976715088
Wed Mar 13 03:07:34 +0000 2024,FahreziJiah,perolehan suara yang menggembirakan bagi prabowogibran adalah bukti bahwa mereka telah berhasil memenangkan hati dan pikiran masyarakat inihasil dipilihrakyat,positif,0.9655736088752747
Wed Mar 13 03:07:12 +0000 2024,yoongi_snowyie,kepercayaan masyarakat pada prabowogibran tercermin dari perolehan suara inihasil dipilihrakyat,netral,0.5790523290634155
Wed Mar 13 03:07:11 +0000 2024,hariankompas,raihan suara airin itu mengungguli perolehan suara dari sembilan petahana yang kembali maju di dapil banten iii,netral,0.9740102887153625
Wed Mar 13 03:07:07 +0000 2024,AlaskaYolanda,dengan perolehan suara yang mencengangkan prabowogibran telah membuktikan bahwa mereka adalah pilihan yang diakui dan dihormati oleh rakyat inihasil dipilihrakyat,positif,0.9544600248336792
Wed Mar 13 03:07:05 +0000 2024,KompasData,raihan suara airin itu mengungguli perolehan suara dari sembilan petahana yang kembali maju di dapil banten iii,netral,0.9740102887153625
Wed Mar 13 03:06:45 +0000 2024,embunrahma552,prabowogibran unggul dengan perolehan suara yang menggemparkan inihasil dipilihrakyat,positif,0.8953356146812439
Wed Mar 13 03:06:37 +0000 2024,ParisyyKurniawa,perolehan suara prabowogibran mencerminkan dukungan yang kuat dari masyarakat inihasil dipilihrakyat,positif,0.6990670561790466
Wed Mar 13 03:06:19 +0000 2024,KusumaNisa,kabar baik dari kpu semoga prabowogibran tetap memimpin dalam perolehan suara inihasil dipilihrakyat,positif,0.6553817391395569
Wed Mar 13 03:04:25 +0000 2024,LanangasGunawan,perolehan suara prabowogibran mencerminkan popularitas yang tak terbantahkan inihasil dipilihrakyat,netral,0.6163858771324158
Wed Mar 13 03:04:18 +0000 2024,arnurmayat72430,perolehan suara prabowogibran mencerminkan dukungan yang kuat dari masyarakat inihasil dipilihrakyat,positif,0.6990670561790466
Wed Mar 13 03:04:14 +0000 2024,dikihendri88,prestasi prabowogibran dalam perolehan suara tidak bisa dipandang sebelah mata inihasil dipilihrakyat,positif,0.8266686797142029
Wed Mar 13 03:03:46 +0000 2024,BrahmanYan73048,kemenangan prabowogibran terlihat dari perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.8849362730979919
Wed Mar 13 03:03:39 +0000 2024,planetspor32370,popularitas prabowogibran semakin meningkat dengan perolehan suara yang memukau inihasil dipilihrakyat,positif,0.9694290161132812
Wed Mar 13 03:03:30 +0000 2024,EvaeiSihombing,perolehan suara yang menggembirakan bagi prabowogibran adalah bukti bahwa mereka telah berhasil memenangkan hati dan pikiran masyarakat inihasil dipilihrakyat,positif,0.9655736088752747
Wed Mar 13 03:03:06 +0000 2024,NadinEula_,dukungan besar untuk prabowogibran terlihat dari perolehan suara yang memukau inihasil dipilihrakyat,positif,0.9531031847000122
Wed Mar 13 03:01:42 +0000 2024,DarijangdThamri,perolehan suara yang mengesankan bagi prabowogibran adalah cerminan dari aspirasi dan harapan yang dipercayakan oleh masyarakat inihasil dipilihrakyat,positif,0.9111118912696838
Wed Mar 13 03:01:36 +0000 2024,hasanahrik,prabowogibran semakin mantap di puncak perolehan suara inihasil dipilihrakyat,positif,0.8707897067070007
Wed Mar 13 03:01:16 +0000 2024,mamankumis58311,popularitas prabowogibran semakin meningkat dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9466604590415955
Wed Mar 13 03:01:08 +0000 2024,IndiraZahr4,prabowogibran unggul dalam perolehan suara inihasil dipilihrakyat,netral,0.6282588839530945
Wed Mar 13 03:00:43 +0000 2024,RapaelXin,suara rakyat memilih prabowogibran terbukti dari perolehan suara yang luar biasa inihasil dipilihrakyat,positif,0.9714068174362183
Wed Mar 13 03:00:41 +0000 2024,Leonita_Lestari,tpn ganjar berpandangan bahwa pembuktian kecurangan pemilu secara tsm itu dapat membuat maka membatalkan keputusan komisi pemilihan umum kpu terkait hasil pemilu setahuku dalam soal pemilu maka itu bertugas mengadili perselisihan atas perolehan suara dan itupun baru bisa,netral,0.8208394050598145
Wed Mar 13 03:00:31 +0000 2024,purwatrisa,posisi prabowogibran semakin kokoh di puncak dalam perolehan suara inihasil dipilihrakyat,positif,0.8143824338912964
Wed Mar 13 03:00:02 +0000 2024,netralnews,pks unggul dalam perolehan suara dpr dan dprd di jakarta pada pemilu,netral,0.9454248547554016
Wed Mar 13 02:59:56 +0000 2024,IdanlHabibi,suara rakyat memilih prabowogibran terbukti dari perolehan suara yang luar biasa inihasil dipilihrakyat,positif,0.9714068174362183
Wed Mar 13 02:59:34 +0000 2024,johsonmanulang,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 02:59:31 +0000 2024,liqadwwi,prabowogibran mendapat kepercayaan penuh dari rakyat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9786257743835449
Wed Mar 13 02:59:10 +0000 2024,KadirdsSusanti,popularitas prabowogibran semakin meningkat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9512342810630798
Wed Mar 13 02:58:47 +0000 2024,kirnoajiwarno,dukungan besar dari masyarakat terlihat dari perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.605877697467804
Wed Mar 13 02:58:44 +0000 2024,AuroraxtRiyanti,popularitas prabowogibran tercermin dalam dominasi perolehan suara inihasil dipilihrakyat,netral,0.9325259327888489
Wed Mar 13 02:57:11 +0000 2024,tiurrdwwi,popularitas prabowogibran semakin meningkat dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9466604590415955
Wed Mar 13 02:57:06 +0000 2024,HuhuhahiC,prabowogibran tidak tergoyahkan dalam perolehan suara inihasil dipilihrakyat,positif,0.9386088252067566
Wed Mar 13 02:57:00 +0000 2024,mamat_lion353,prabowogibran unggul dengan perolehan suara yang fantastis menandakan dukungan yang solid dari masyarakat inihasil dipilihrakyat,positif,0.9814283847808838
Wed Mar 13 02:56:59 +0000 2024,mlbbepicmoment,prabowogibran memimpin dengan perolehan suara yang menakjubkan inihasil dipilihrakyat,positif,0.9760248064994812
Wed Mar 13 02:56:57 +0000 2024,sidikrifanto,prabowogibran terus menunjukkan keunggulan yang memukau dalam perolehan suara inihasil dipilihrakyat,positif,0.8800323009490967
Wed Mar 13 02:56:48 +0000 2024,PatriciapyPuspa,popularitas prabowogibran semakin meningkat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9512342810630798
Wed Mar 13 02:56:30 +0000 2024,zakiyaaira16,perolehan suara prabowogibran mencerminkan kepercayaan yang tinggi dari rakyat inihasil dipilihrakyat,positif,0.8355017304420471
Wed Mar 13 02:56:29 +0000 2024,NilamddHartati,aspirasi dan harapan masyarakat tercermin dalam perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.9469566345214844
Wed Mar 13 02:56:21 +0000 2024,BakiantouxHassa,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 02:56:13 +0000 2024,LeLeviper_,keberhasilan prabowogibran tercermin dalam perolehan suara yang mencerminkan dukungan yang kuat dari rakyat inihasil dipilihrakyat,positif,0.9124664664268494
Wed Mar 13 02:55:41 +0000 2024,GardaraSuryatmi,perolehan suara yang mengesankan bagi prabowogibran adalah hasil dari kerja keras dan dedikasi mereka dalam melayani rakyat inihasil dipilihrakyat,positif,0.982410728931427
Wed Mar 13 02:54:59 +0000 2024,homepashion,dengan perolehan suara yang signifikan prabowogibran telah memenangkan hati dan kepercayaan masyarakat inihasil dipilihrakyat,positif,0.8545729517936707
Wed Mar 13 02:54:36 +0000 2024,RevandSuhan,suara rakyat memilih dengan jelas prabowogibran unggul dengan perolehan suara yang mengagumkan inihasil dipilihrakyat,positif,0.9903852939605713
Wed Mar 13 02:54:35 +0000 2024,cracking_scoldi,pasangan prabowogibran semakin kokoh di puncak perolehan suara inihasil dipilihrakyat,positif,0.695462703704834
Wed Mar 13 02:54:33 +0000 2024,kumalas883,prabowogibran mendapat kepercayaan penuh dari rakyat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9786257743835449
Wed Mar 13 02:53:30 +0000 2024,nailaananda_,survei pemilihan yang terbaru prabowogibran tetap stabil di puncak perolehan suara inihasil dipilihrakyat,netral,0.9737352132797241
Wed Mar 13 02:53:08 +0000 2024,TanayaPratista,perolehan suara prabowogibran mencerminkan kepercayaan yang tinggi dari rakyat inihasil dipilihrakyat,positif,0.8355017304420471
Wed Mar 13 02:52:45 +0000 2024,reyamayi,popularitas prabowogibran semakin meningkat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9512342810630798
Wed Mar 13 02:52:44 +0000 2024,BaktiadiisMahen,prabowogibran memimpin dengan perolehan suara yang menciptakan gelombang popularitas inihasil dipilihrakyat,netral,0.7332177758216858
Wed Mar 13 02:52:34 +0000 2024,DRadinati92128,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 02:52:34 +0000 2024,indah_ipermata,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 02:51:38 +0000 2024,PrayitnanvWahyu,perolehan suara prabowogibran menunjukkan kepercayaan rakyat pada mereka inihasil dipilihrakyat,positif,0.5847861170768738
Wed Mar 13 02:51:09 +0000 2024,JasminsxMelani,prabowogibran memimpin dengan perolehan suara yang menakjubkan inihasil dipilihrakyat,positif,0.9760248064994812
Wed Mar 13 02:51:02 +0000 2024,HasnaemYuliarti,kepercayaan besar rakyat pada prabowogibran terlihat dari perolehan suara inihasil dipilihrakyat,positif,0.8740726709365845
Wed Mar 13 02:50:59 +0000 2024,KardiqcMayasari,aspirasi dan harapan masyarakat tercermin dalam perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.9469566345214844
Wed Mar 13 02:50:09 +0000 2024,ZahraraMandasar,kepercayaan masyarakat pada prabowogibran terlihat dari perolehan suara yang tinggi inihasil dipilihrakyat,positif,0.9409019947052002
Wed Mar 13 02:49:47 +0000 2024,hera746259,perolehan suara prabowogibran mencerminkan popularitas yang tak terbantahkan inihasil dipilihrakyat,netral,0.6163858771324158
